Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20130916X53345 | Accident | CEN13CA550 | 09/13/2013 | Princeton, MN | United States |  |  |  |  |  |  |  | N526PU | PIPER | PA 28-161 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130916X43341 | Accident | CEN13CA549 | 09/13/2013 | Conway, AR | United States |  |  |  |  |  |  |  | N667J | JABIRU USA SPORT AIRCRAFT LLC | J230-SP |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130911X14426 | Accident | ERA13FA412 | 09/11/2013 | Smoketown, PA | United States | 40.041389 | -76.201944 | S37 | Smoketown | Non-Fatal | Destroyed | Airplane | N691LB | JOSEPH BENDER | MUSTANG II | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  | 1 |  |  | VMC |  | Preliminary | 09/19/2013 | 
20130911X30906 | Accident | CEN13CA544 | 09/11/2013 | Victoria, TX | United States |  |  |  |  |  |  |  | N170TP | CESSNA | 170A |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130911X23401 | Accident | ERA13CA413 | 09/09/2013 | Monticello, KY | United States |  |  |  |  |  |  |  | N1136L | LAKE | LA-4 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130910X71433 | Accident | ERA13LA409 | 09/08/2013 | Doylestown, PA | United States | 40.333056 | -75.122223 |  |  | Non-Fatal | Substantial | Airplane | N57JK | PIPER | PA-31P | No | 2 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 1 | VMC |  | Preliminary | 09/18/2013 | 
20130909X84734 | Accident | ERA13LA407 | 09/08/2013 | Guntersville, AL | United States | 34.404444 | -86.267223 | 8A1 | Guntersville Municipal | Non-Fatal | Substantial | Airplane | N8362C | PIPER | PA-32R-300 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC |  | Preliminary | 09/17/2013 | 
20130911X64815 | Accident | ERA13CA414 | 09/08/2013 | Shellman Bluff, GA | United States |  |  |  |  |  |  |  | N7619X | CESSNA | 172B |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130909X20434 | Accident | CEN13LA536 | 09/08/2013 | Woodstock, IL | United States | 42.356667 | -88.506111 |  |  | Non-Fatal | Substantial | Airplane | N54WS | SWEET WAYNE A | BUSHBY MUSTANG II | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC |  | Preliminary | 09/11/2013 | 
20130911X20848 | Accident | CEN13CA543 | 09/08/2013 | Chippewa Falls, WI | United States |  |  |  |  |  |  |  | N23683 | TAYLORCRAFT | BL-65 |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130909X10032 | Accident | CEN13TA535 | 09/07/2013 | Amistad, NM | United States | 35.918056 | -103.153056 |  | N/A | Non-Fatal | Substantial | Helicopter | N721LL | BELL | 206L-3 | No | 1 | Turbo Shaft | Public Use |  | PUBS |  |  |  | 2 |  | VMC |  | Preliminary | 09/20/2013 | 
20130911X05138 | Accident | CEN13LA541 | 09/07/2013 | Gallup, NM | United States | 35.511111 | -108.789444 | KGUP | Gallup Municipal Airport | Non-Fatal | Substantial | Airplane | N561AT | CESSNA | 180 | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Preliminary | 09/11/2013 | 
20130909X85712 | Accident | CEN13LA534 | 09/07/2013 | Castroville, TX | United States | 29.338333 | -98.850556 |  |  | Non-Fatal | Substantial | Airplane | N1732 | Barrow | Rose Parrakeet | Yes | 1 |  | Part 91: General Aviation |  | Personal |  |  |  |  | 1 |  |  | Preliminary | 09/11/2013 | 
20130909X51125 | Accident | ERA13LA406 | 09/06/2013 | Beaver Falls, PA | United States | 40.770000 | -80.391389 | BVI | Beaver County Airport | Non-Fatal | Substantial | Airplane | N3940H | ENGINEERING & RESEARCH | 415-D | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  |  | 2 | VMC |  | Preliminary | 09/17/2013 | 
20130909X40737 | Accident | ERA13LA405 | 09/06/2013 | Waxhaw, NC | United States | 35.863889 | -80.748055 |  | N/A | Non-Fatal | Substantial | Airplane | N293SX | CROWDER MICHAEL H | SONEX | Yes | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | VMC |  | Preliminary | 09/17/2013 | 
20130908X23506 | Accident | CEN13LA533 | 09/06/2013 | Atlantic, IA | United States |  |  |  |  | Non-Fatal | Destroyed | Airplane | N7843 | GRUMMAN | G-164A | No | 1 | Reciprocating | Part 137: Agricultural |  | Aerial Application |  |  |  | 1 |  |  |  | Preliminary | 09/11/2013 | 
20130906X62754 | Accident | CEN13CA532 | 09/06/2013 | Denver, CO | United States |  |  |  |  |  |  |  | N4791X | CESSNA | 150G |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
20130906X94639 | Accident | CEN13CA528 | 09/06/2013 | Delavan, WI | United States |  |  |  |  |  |  |  | 86586 | BELLANCA | 7ECA |  |  |  |  |  |  |  |  |  |  |  |  |  | Preliminary |  | 
